Date,SANDP,FORD,GE,MICROSOFT,ORACLE,USTB3M,ret_sp500,ret_ford,ret_ge,ret_microsoft,ret_oracle,ustb3m,retexc_sp500,retexc_ford,retexc_ge,retexc_microsoft,retexc_oracle
2002-01-01T00:00:00Z,1130.199951,15.3,37.150002,31.855,17.26,1.68,NA,NA,NA,NA,NA,0.13999999999999999,NA,NA,NA,NA,NA
2002-02-01T00:00:00Z,1106.72998,14.88,38.5,29.17,16.620001,1.76,-2.0984861391263543,-2.7834798993443766,3.5694416294171027,-8.805357168882155,-3.7784836059509885,0.14666666666666667,-2.245152805793021,-2.930146566011043,3.4227749627504362,-8.952023835548822,-3.925150272617655
2002-03-01T00:00:00Z,1147.390015,16.49,37.400002,30.155001,12.8,1.83,3.60801073971615,10.273610716656156,-2.898748339731805,3.3209996185315838,-26.116167867020046,0.1525,3.45551073971615,10.121110716656156,-3.0512483397318046,3.168499618531584,-26.268667867020046
2002-04-01T00:00:00Z,1076.920044,16,31.549999,26.129999,10.04,1.75,-6.338465500030299,-3.016541433172648,-17.009720060491993,-14.326673880261298,-24.286805666198852,0.14583333333333334,-6.484298833363632,-3.1623747665059816,-17.155553393825326,-14.472507213594632,-24.432638999532184
2002-05-01T00:00:00Z,1067.140015,17.65,31.139999,25.455,7.92,1.76,-0.9122969098122269,9.814706113952454,-1.3080422998686725,-2.617185390803334,-23.71859084372483,0.14666666666666667,-1.0589635764788936,9.668039447285787,-1.4547089665353392,-2.7638520574700003,-23.865257510391498
2002-06-01T00:00:00Z,989.820007,16,29.049999,27.35,9.47,1.73,-7.521435026017542,-9.814706113952454,-6.947468541830215,7.180434151369086,17.873770137165224,0.14416666666666667,-7.665601692684209,-9.95887278061912,-7.091635208496882,7.036267484702419,17.729603470498557
2002-07-01T00:00:00Z,911.619995,13.47,32.200001,23.99,10.01,1.71,-8.229988439463387,-17.21237318175084,10.294803473175085,-13.107945201638715,5.54556861291422,0.1425,-8.372488439463387,-17.35487318175084,10.152303473175085,-13.250445201638716,5.40306861291422
2002-08-01T00:00:00Z,916.070007,11.77,30.15,24.540001,9.59,1.65,0.4869557516395062,-13.491106915008722,-6.5781560433068265,2.2667403180957724,-4.2863704431782335,0.13749999999999998,0.34945575163950626,-13.62860691500872,-6.715656043306827,2.129240318095772,-4.423870443178234
2002-09-01T00:00:00Z,815.280029,9.8,24.65,21.870001,7.86,1.66,-11.656114051860289,-18.317153559565913,-20.14080226844954,-11.51885996191484,-19.893428245423152,0.13833333333333334,-11.794447385193623,-18.455486892899245,-20.279135601782873,-11.657193295248174,-20.031761578756484
2002-10-01T00:00:00Z,885.76001,8.46,25.25,26.735001,10.19,1.61,8.291439674789558,-14.703321205839437,2.4049255232669875,20.085772539143363,25.9620240793518,0.13416666666666668,8.15727300812289,-14.837487872506104,2.2707588566003207,19.951605872476698,25.827857412685134
2002-11-01T00:00:00Z,936.309998,11.38,27.120001,28.84,12.15,1.25,5.550057125032826,29.650825508005283,7.144534422398152,7.578970661190221,17.59223225519242,0.10416666666666667,5.445890458366159,29.546658841338616,7.040367755731485,7.474803994523554,17.488065588525753
2002-12-01T00:00:00Z,879.820007,9.3,24.35,25.85,10.8,1.21,-6.222926703765808,-20.18430285389745,-10.77396504167516,-10.945271146231006,-11.778303565638337,0.10083333333333333,-6.323760037099141,-20.285136187230783,-10.874798375008494,-11.04610447956434,-11.879136898971671
2003-01-01T00:00:00Z,855.700012,9.11,23.139999,23.73,12.03,1.19,-2.77974876039897,-2.0641688887343523,-5.096917097828113,-8.557053050676622,10.785739585641352,0.09916666666666667,-2.8789154270656367,-2.163335555401019,-5.19608376449478,-8.656219717343289,10.686572918974685
2003-02-01T00:00:00Z,841.150024,8.32,24.049999,23.700001,11.96,1.19,-1.714982975008006,-9.071045643874953,3.8572276421410034,-0.12649801124946514,-0.5835781464101686,0.09916666666666667,-1.8141496416746725,-9.17021231054162,3.758060975474337,-0.22566467791613182,-0.6827448130768352
2003-03-01T00:00:00Z,848.179993,7.52,25.5,24.209999,10.85,1.15,0.8322837467498623,-10.10961168713691,5.854349719265262,2.1290639309543113,-9.740266853601742,0.09583333333333333,0.736450413416529,-10.205445020470243,5.758516385931928,2.033230597620978,-9.836100186935075
2003-04-01T00:00:00Z,916.919983,10.3,29.450001,25.57,11.88,1.15,7.792733974211075,31.457775727384174,14.401549188907214,5.465405965837489,9.069123394803036,0.09583333333333333,7.696900640877741,31.36194239405084,14.305715855573881,5.3695726325041555,8.973290061469703
2003-05-01T00:00:00Z,963.590027,10.5,28.700001,24.610001,13.01,1.09,4.9645712049834145,1.9231361927887658,-2.5796786444672204,-3.826688426624303,9.086197858991518,0.09083333333333334,4.873737871650081,1.8323028594554325,-2.6705119778005537,-3.917521759957636,8.995364525658184
2003-06-01T00:00:00Z,974.5,10.99,28.68,25.639999,12.01,0.94,1.1258597990636332,4.561051125205218,-0.06971418773606963,4.100068801405632,-7.997865643252178,0.07833333333333332,1.0475264657302998,4.482717791871885,-0.14804752106940294,4.021735468072299,-8.076198976585511
2003-07-01T00:00:00Z,990.309998,11.06,28.440001,26.41,11.99,0.92,1.6093504459203878,0.6349227678659197,-0.8403375634636223,2.958913325813217,-0.16666670524694283,0.07666666666666667,1.5326837792537211,0.5582561011992531,-0.917004230130289,2.8822466591465505,-0.2433333719136095
